Your Input	WormBase Gene ID	Public Name	Sequence Name	Other Name	RNAi Phenotype Observed	Allele Phenotype Observed	Concise Description	Automated Description	Reference
Y47D3B.3	WBGene00012940	Y47D3B.3	Y47D3B.3	CELE_Y47D3B.3	N.A.	N.A.	N.A.	Is affected by several genes including clk-1\; eat-2\; and dpy-7 based on microarray and RNA-seq studies. Is affected by five chemicals including multi-walled carbon nanotube\; Alovudine\; and Zidovudine based on RNA-seq studies. Is predicted to encode a protein with the following domain: Abnormal cell migration protein 18-like.	N.A.
col-75	WBGene00000651	col-75	K03H9.2	CELE_K03H9.2	N.A.	N.A.	N.A.	Is predicted to be a structural constituent of cuticle.	WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140
lov-1	WBGene00003058	lov-1	ZK945.9	pkd-1, CELE_ZK945.9	mitochondria alignment variant, slow growth	amplitude of sinusoidal movement variant, backward locomotion variant, backward point velocity increased, body posture amplitude variant, body posture wavelength decreased, fat, forward locomotion increased, forward point velocity increased, frequency of body bend variant, head bend angle increased, leaving assay defective, level of transgene expression variant, male response to contact defective, male response to hermaphrodite variant, nose movement increased, path curvature decreased, pausing decreased, post mating variant, roaming increased, transgene subcellular localization variant, turning frequency variant, vulva location variant	lov-1 encodes a transmembrane protein orthologous to human PKD1\; lov-1 is required for two aspects of male mating behavior: response to hermaphrodite contact and vulva location and acts with PKD-2, a TRPP cation channel\; LOV-1 is expressed in three types of male-specific neurons and localizes to the cell bodies and cilia\; EGL-44 and EGL-46 regulate cell-specific expression of lov-1 and pkd-2 to specify the behavioral function of the HOB hook sensillum neuron\; in vitro, LOV-1 interacts, via its conserved PLAT domain, with the N-terminus of ATP-2, the beta subunit of ATP synthase that also localizes to cilia, suggesting that ATP synthase may play a role in C. elegans polycystin signaling.	Exhibits protein domain specific binding activity. Is involved in response to hermaphrodite contact and vulval location. Localizes to neuronal cell body and non-motile cilium. Is expressed in CEM and in male. Is used to study autosomal dominant polycystic kidney disease. Is an ortholog of human PKDREJ (polycystin family receptor for egg jelly).	WBPaper00003680|pmid10517638, WBPaper00004324|pmid11003845, WBPaper00004489|pmid11134517, WBPaper00004715|pmid11301258, WBPaper00004854|pmid11553327, WBPaper00005109|pmid11818544, WBPaper00005226|pmid11959845, WBPaper00005642|pmid12411744, WBPaper00006247|pmid12954713, WBPaper00006390|pmid14668411, WBPaper00013489|pmid15183729, WBPaper00024944|pmid15563610, WBPaper00025021|pmid15753033, WBPaper00025076|pmid15817158, WBPaper00025119|pmid15659564, WBPaper00026629|pmid15987632, WBPaper00027106|pmid16481400, WBPaper00028448|pmid16943275, WBPaper00029256|pmid17416682, WBPaper00030801|pmid17581863, WBPaper00031146|pmid17964166, WBPaper00032414|pmid19062284, WBPaper00036024|pmid20223935, WBPaper00038142|pmid21368276, WBPaper00038491|pmid21647448, WBPaper00040237|pmid21968192, WBPaper00041718|pmid23143519, WBPaper00043908|pmid23852451, WBPaper00044269|pmid24142929, WBPaper00044855|pmid24530063, WBPaper00049023|pmid26702651, WBPaper00055090|pmid30120140
rol-6	WBGene00004397	rol-6	T01B7.7	CELE_T01B7.7	dumpy, egg laying variant, locomotion variant, mitochondria morphology variant, protein degradation variant	alae morphology variant, annulae morphology variant, helical cuticle, locomotion variant, physiology phenotype, right handed roller, roller	The rol-6 gene encodes a cuticle collagen related to human collagen alpha 1 (III) chain precursor (OMIM:120180), and is required for normal cuticular morphology\; ROL-6 interacts with SQT-1, a closely related cuticle collagen, and is expressed at all stages from L2 to adult with transcripts detected at each of the molts preceding these stages.	Is a structural constituent of collagen and cuticulin-based cuticle. Is involved in cuticle development involved in collagen and cuticulin-based cuticle molting cycle. Localizes to collagen and cuticulin-based cuticle extracellular matrix. Is expressed in hypodermis.	WBPaper00000465|pmid17249038, WBPaper00000608|pmid17246100, WBPaper00000715|pmid6500256, WBPaper00000906|pmid3732788, WBPaper00000914|pmid3744028, WBPaper00001100|pmid3180220, WBPaper00001273|pmid1970117, WBPaper00001404|pmid2071015, WBPaper00001411|pmid2020855, WBPaper00001412|pmid2027384, WBPaper00001439|pmid1936966, WBPaper00001469|pmid1782857, WBPaper00001479|pmid1935914, WBPaper00001535|pmid1315299, WBPaper00001570|pmid1639062, WBPaper00001612|pmid1527173, WBPaper00001616|pmid15463533, WBPaper00001618|pmid1396579, WBPaper00001639|pmid1363090, WBPaper00001651|pmid1470921, WBPaper00001664|pmid1361171, WBPaper00001667|pmid8417357, WBPaper00001688|pmid8428932, WBPaper00001692|pmid8436294, WBPaper00001695|pmid8445654, WBPaper00001701|pmid8458337, WBPaper00001702|pmid8451190, WBPaper00001706|pmid8503957, WBPaper00001709|pmid8462849, WBPaper00001723|pmid8098272, WBPaper00001736|pmid8504934, WBPaper00001742|pmid8391108, WBPaper00001748|pmid8349108, WBPaper00001750|pmid8391930, WBPaper00001757|pmid7690265, WBPaper00001762|pmid8515205, WBPaper00001777|pmid8350921, WBPaper00001792|pmid8241567, WBPaper00001806|pmid7691828, WBPaper00001811|pmid8232208, WBPaper00001812|pmid8257796, WBPaper00001819|pmid8413626, WBPaper00001825|pmid8413302, WBPaper00001826|pmid7904971, WBPaper00001835|pmid8307321, WBPaper00001849|pmid8252622, WBPaper00001850|pmid8406009, WBPaper00001857|pmid8305738, WBPaper00001864|pmid8264616, WBPaper00001868|pmid8288128, WBPaper00001869|pmid8299935, WBPaper00001872|pmid8107806, WBPaper00001881|pmid8303295, WBPaper00001897|pmid8127662, WBPaper00001912|pmid8107682, WBPaper00001922|pmid8139571, WBPaper00001951|pmid8174767, WBPaper00001961|pmid8202383, WBPaper00002006|pmid8041603, WBPaper00002047|pmid7607088, WBPaper00002275|pmid8589736, WBPaper00002587|pmid8824310, WBPaper00002774|pmid9136012, WBPaper00002901|pmid9331368, WBPaper00003011|pmid9488336, WBPaper00003210|pmid9751195, WBPaper00003289|pmid9842711, WBPaper00003339|pmid9860998, WBPaper00003474|pmid10097120, WBPaper00003774|pmid10551833, WBPaper00003883|pmid10625546, WBPaper00003986|pmid10780544, WBPaper00004883|pmid11560892, WBPaper00005272|pmid12019225, WBPaper00005423|pmid12176360, WBPaper00005496|pmid12297370, WBPaper00005747|pmid12619137, WBPaper00005815|pmid12686594, WBPaper00005927|pmid12770777, WBPaper00006103|pmid14504222, WBPaper00024393|pmid15380030, WBPaper00024673|pmid15620690, WBPaper00024961|pmid15716039, WBPaper00026926|pmid16254074, WBPaper00032421|pmid19066505, WBPaper00032434|pmid19085141, WBPaper00033181|pmid19454349, WBPaper00033444|pmid19503598, WBPaper00036033|pmid20229090, WBPaper00037824|pmid21094156, WBPaper00038491|pmid21647448, WBPaper00040284|pmid21980350, WBPaper00045637|pmid25161212, WBPaper00051537|pmid28725724, WBPaper00051549|pmid28742107, WBPaper00053133|pmid28940623, WBPaper00055090|pmid30120140, WBPaper00055425|pmid30274988, WBPaper00056902|pmid31215743, WBPaper00057093|pmid31336098, WBPaper00057259|pmid31432005, WBPaper00058832|pmid31704915, WBPaper00058944|pmid31800569, WBPaper00059172|pmid N.A., WBPaper00059256|pmid32010481, WBPaper00059531|pmid32259199
clec-180	WBGene00017991	clec-180	F32E10.3	cpg-12, CELE_F32E10.3	N.A.	N.A.	N.A.	Is predicted to have carbohydrate binding activity.	WBPaper00053423|pmid29203330
D2005.6	WBGene00008401	D2005.6	D2005.6	CELE_D2005.6	N.A.	N.A.	N.A.	Is affected by several genes including daf-16\; rrf-3\; and daf-12 based on microarray and RNA-seq studies. Is affected by ten chemicals including hydrogen sulfide\; 1-methylnicotinamide\; and methylmercuric chloride based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: Phosphorylation site\; Membrane-associating domain\; and Marvel domain.	N.A.
T23E7.6	WBGene00044772	T23E7.6	T23E7.6	CELE_T23E7.6	N.A.	N.A.	N.A.	Is enriched in hypodermis and muscle cell based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on RNA-seq\; tiling array\; and microarray studies. Is affected by fourteen chemicals including 1-methylnicotinamide\; rotenone\; and Tunicamycin based on RNA-seq and microarray studies.	N.A.
R02F11.1	WBGene00019839	R02F11.1	R02F11.1	CELE_R02F11.1	N.A.	N.A.	N.A.	Is enriched in mechanosensory neurons\; pharynx\; and somatic gonad precursor based on microarray\; tiling array\; and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray and RNA-seq studies. Is affected by twenty-one chemicals including methylmercury hydroxide\; 1-methylnicotinamide\; and D-glucose based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: .	N.A.
F13B9.2	WBGene00017420	F13B9.2	F13B9.2	CELE_F13B9.2	N.A.	N.A.	N.A.	Is enriched in PLM and hypodermis based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and let-60 based on microarray\; tiling array\; and RNA-seq studies. Is affected by thirteen chemicals including methylmercury hydroxide\; D-glucose\; and sesamin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: .	N.A.
rab-28	WBGene00004281	rab-28	Y11D7A.4	CELE_Y11D7A.4	N.A.	N.A.	rab-28 encodes a small GTPase homologous to the Rab GTPases that function in endocytosis, membrane fusion, and vesicular trafficking events.	Is predicted to have GTP binding activity and GTPase activity. Is involved in several processes, including axoneme assembly\; locomotory exploration behavior\; and regulation of cilium assembly. Localizes to several cellular components, including axoneme\; ciliary base\; and periciliary membrane compartment. Is expressed in ciliated neurons. Human ortholog(s) of this gene are implicated in cone-rod dystrophy 18. Is an ortholog of human RAB28 (RAB28, member RAS oncogene family).	WBPaper00029101|pmid17289575, WBPaper00030935|pmid17762880, WBPaper00038491|pmid21647448, WBPaper00048988|pmid26675724, WBPaper00050511|pmid27930654, WBPaper00055090|pmid30120140
C09G9.5	WBGene00007495	C09G9.5	C09G9.5	CELE_C09G9.5	N.A.	N.A.	N.A.	Is enriched in dopaminergic neurons based on tiling array studies. Is affected by several genes including daf-16\; daf-2\; and glp-1 based on microarray and RNA-seq studies. Is affected by eight chemicals including aldicarb\; stavudine\; and Rifampin based on microarray and RNA-seq studies.	N.A.
M195.2	WBGene00010948	M195.2	M195.2	CELE_M195.2	dumpy, embryonic lethal, organism morphology variant	N.A.	N.A.	Is enriched in DA neuron and pharynx based on microarray studies. Is affected by several genes including daf-16\; skn-1\; and rrf-3 based on microarray\; tiling array\; and RNA-seq studies. Is affected by eighteen chemicals including hydrogen sulfide\; 1-methylnicotinamide\; and methylmercuric chloride based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domain: .	N.A.
T02E9.5	WBGene00011383	T02E9.5	T02E9.5	CELE_T02E9.5	N.A.	N.A.	N.A.	Is enriched in Psub1\; cephalic sheath cell\; head mesodermal cell\; neurons\; and retrovesicular ganglion based on microarray\; tiling array\; and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray and RNA-seq studies. Is affected by twenty chemicals including 1-methylnicotinamide\; methylmercuric chloride\; and rotenone based on RNA-seq and microarray studies.	N.A.
ZC334.7	WBGene00013865	ZC334.7	ZC334.7	CELE_ZC334.7	N.A.	N.A.	N.A.	Is predicted to have electron transfer activity and protein disulfide oxidoreductase activity.	WBPaper00041408|pmid22899914
scvp-1	WBGene00010237	scvp-1	F58B4.4	CELE_F58B4.4	N.A.	N.A.	N.A.	Is enriched in male-specific anatomical entity based on microarray studies. Is affected by several genes including daf-2\; eat-2\; and alg-1 based on RNA-seq and microarray studies. Is affected by six chemicals including methylmercuric chloride\; Tunicamycin\; and Psoralens based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: Secreted clade V proteins and Secreted clade V protein.	WBPaper00046511|pmid25730766
srt-53	WBGene00022409	srt-53	Y97E10B.10	Y97E10B.a, Y97E10B.a, CELE_Y97E10B.10	N.A.	N.A.	N.A.	Is enriched in AFD\; ASER\; PLM\; intestine\; and neurons based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including lin-15B\; ain-1\; and mir-34 based on microarray and tiling array studies. Is affected by five chemicals including Psoralens\; allantoin\; and Sirolimus based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Serpentine type 7TM GPCR chemoreceptor Srt and 7TM GPCR, serpentine receptor class t (Srt).	N.A.
C15F1.2	WBGene00015795	C15F1.2	C15F1.2	CELE_C15F1.2	N.A.	N.A.	N.A.	Is enriched in OLL\; PVD\; and male-specific anatomical entity based on microarray studies. Is affected by several genes including daf-2\; let-60\; and rrf-3 based on microarray\; tiling array\; and RNA-seq studies. Is affected by twenty chemicals including Lithium Chloride\; methylmercury hydroxide\; and 1-methylnicotinamide based on microarray and RNA-seq studies.	N.A.
F46F3.3	WBGene00009791	F46F3.3	F46F3.3	CELE_F46F3.3	N.A.	N.A.	N.A.	Is enriched in germline precursor cell based on tiling array studies. Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on microarray and RNA-seq studies. Is affected by eleven chemicals including methylmercury hydroxide\; Alovudine\; and stavudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: Phosphorylation site.	N.A.
toh-1	WBGene00006591	toh-1	T24A11.3	nas-26, CELE_T24A11.3	N.A.	N.A.	toh-1 encodes an astacin-like metalloprotease\; TOH-1 is predicted to function as a secreted protease\; experiments that specifically assessed toh-1's role in molting indicate that toh-1(RNAi) causes no abnormal phenotypes.	Is predicted to have metalloendopeptidase activity and zinc ion binding activity. Is expressed in arcade cell\; egg-laying apparatus\; hyp7 syncytium\; intestine\; and neuronal sheath cell.	WBPaper00002539|pmid8861940, WBPaper00006254|pmid14653817, WBPaper00024242|pmid15255192, WBPaper00055090|pmid30120140
clec-135	WBGene00015821	clec-135	C16A11.8	CELE_C16A11.8	N.A.	N.A.	N.A.	Is predicted to have carbohydrate binding activity.	WBPaper00031002|pmid17826759
fkh-2	WBGene00001434	fkh-2	T14G12.4	CELE_T14G12.4	embryonic lethal, L1 arrest, sluggish	N.A.	fkh-2 encodes one of 15 C. elegans forkhead transcription factors and is homologous to Drosophila sloppy-paired (slp) and the vertebrate Brain Factor 1 (BF-1, OMIM:164874, expression is restricted to the central nervous system)\; fkh-2 is required, along with ceh-37, for proper development of the AWB chemosensory neurons\; specifically, fkh-2 is required for development of AWB-specific ciliary and dendritic structures and for positive regulation of expression of genes such as str-1, odr-1, and kap-1\; in addition, although loss of fkh-2 activity via RNA-mediated interference (RNAi) results in only mild locomotion defects in L1 larvae, loss of both fkh-2 and pes-1, which also encodes a forkhead transcription factor, results in embryonic and larval lethality\; fkh-2 is expressed broadly in embryos in descendants of the D and AB founder cell lineages\; postembryonically, FKH-2 is expressed in AWB, and other, chemosensory neurons\; fkh-2 expression in AWB is positively regulated by the DAF-19 RFX transcription factor.	Exhibits DNA-binding transcription factor activity. Is involved in several processes, including nematode larval development\; neuron differentiation\; and non-motile cilium assembly. Localizes to nucleus. Is expressed in several structures, including AWB\; Daaa\; body wall muscle cell from D lineage\; head muscle\; and somatic nervous system. Human ortholog(s) of this gene are implicated in Rett syndrome and lymphedema-distichiasis syndrome. Is an ortholog of human FOXG1 (forkhead box G1).	WBPaper00004461|pmid11044397, WBPaper00005730|pmid12568714, WBPaper00029337|pmid17476212, WBPaper00029400|pmid17510633, WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140
fbn-1	WBGene00022816	fbn-1	ZK783.1	let-821, cpg-16, CELE_ZK783.1	avoids bacterial lawn, dead eggs laid, Fluorouracil resistant, larval lethal, locomotion variant, molt defect, organism hypertonic lethality increased, slow growth, sterile, transgene expression increased	embryonic arrest, larval arrest, lethal, molt defect, sterile	fbn-1 encodes a protein homologous to the human extracellular matrix protein fibrillin-1 (FBN1)\; in C. elegans, fbn-1 activity is required for completion of molting, particularly the L3\/L4 or L4\/Adult molts.	Is predicted to have calcium ion binding activity. Is used to study connective tissue disease. Human ortholog(s) of this gene are implicated in autosomal recessive cutis laxa type IC and congenital contractural arachnodactyly. Is an ortholog of human FBN2 (fibrillin 2).	WBPaper00026763|pmid16122351, WBPaper00032236|pmid18829898, WBPaper00038491|pmid21647448, WBPaper00046588|pmid25798732, WBPaper00055090|pmid30120140, WBPaper00055692|pmid30409789
daf-6	WBGene00000902	daf-6	F31F6.5	ptr-7, ptr-7, CELE_F31F6.5	N.A.	amphid neuron morphology variant, amphid sheath cell morphology variant, chemotaxis variant, chloride chemotaxis defective, dauer defective, dauer formation variant, dye filling defect, male mating defective, male mating efficiency reduced, nervous system morphology variant, organism hypersensitive desiccation, osmotic avoidance defective, osmotic avoidance variant, outer labial morphology variant, pheromone induced larval display defective, sensillum accessory cell morphology variant, sodium chemotaxis defective, sodium chloride chemotaxis defective, starvation induced dauer formation defective	daf-6 encodes a Patched-related protein\; daf-6 is required for amphid channel morphogenesis and thus, also for normal morphology of the outer labial sensilla\; specifically, daf-6 is required for restricting the amphid sensory compartment diameter\; daf-6 mutants display defects in several neuron-mediated functions including dauer larvae formation, chemotaxis, osmotic avoidance, male mating, negative regulation of lifespan, negative regulation of the neuron ASJ's axonal growth late in development, and dye uptake by amphids and phasmids\; a DAF-6::GFP is expressed in the amphid sheath and socket cells and in the excretory canal.	Is involved in several processes, including negative regulation of transcription by RNA polymerase II\; positive regulation of dauer larval development\; and regulation of insulin receptor signaling pathway. Localizes to cytoplasmic vesicle and plasma membrane. Is expressed in several structures, including cuticle\; excretory system\; interfacial epithelial cell\; neurons\; and vulval cell. Is an ortholog of human PTCHD3 (patched domain containing 3).	WBPaper00000503|pmid7240452, WBPaper00000504|pmid7219552, WBPaper00000608|pmid17246100, WBPaper00000680|pmid6583682, WBPaper00000712|pmid6434374, WBPaper00000728|pmid6500000, WBPaper00000753|pmid3967728, WBPaper00000761|pmid3971421, WBPaper00000932|pmid2428682, WBPaper00000977|pmid3609726, WBPaper00001393|pmid2006412, WBPaper00001482|pmid1732156, WBPaper00001686|pmid7681023, WBPaper00001786|pmid8348618, WBPaper00001942|pmid8056303, WBPaper00002087|pmid7705621, WBPaper00002485|pmid8807293, WBPaper00002589|pmid8901591, WBPaper00002800|pmid9169852, WBPaper00003835|pmid10617200, WBPaper00003851|pmid10556063, WBPaper00004265|pmid10921907, WBPaper00005807|pmid12654727, WBPaper00006516|pmid14982934, WBPaper00025052|pmid15790968, WBPaper00025234|pmid15935768, WBPaper00025237|pmid15935778, WBPaper00026841|pmid16204193, WBPaper00027085|pmid16462744, WBPaper00027346|pmid16631584, WBPaper00028757|pmid17079685, WBPaper00029131|pmid17314406, WBPaper00033037|pmid19339602, WBPaper00037836|pmid21124868, WBPaper00037966|pmid21186286, WBPaper00038491|pmid21647448, WBPaper00040113|pmid21857800, WBPaper00040469|pmid22138055, WBPaper00044382|pmid24058823, WBPaper00044578|pmid24324795, WBPaper00052900|pmid28803967, WBPaper00055090|pmid30120140, WBPaper00057352|pmid31526477
cdkl-1	WBGene00012779	cdkl-1	Y42A5A.4	CELE_Y42A5A.4	N.A.	cilia length increased	N.A.	Is predicted to have protein serine\/threonine kinase activity. Is involved in non-motile cilium assembly and regulation of cilium assembly. Localizes to ciliary transition zone. Is expressed in amphid neurons and phasmid neurons. Is an ortholog of human CDKL1 (cyclin dependent kinase like 1).	WBPaper00038491|pmid21647448, WBPaper00049372|pmid26982032, WBPaper00053681|pmid29420175, WBPaper00055090|pmid30120140
dhs-5	WBGene00000969	dhs-5	F56D1.5	F56D1.e, F56D1.e, CELE_F56D1.5	egg laying defective	N.A.	dhs-5 encodes a possible steroid dehydrogenase\; DHS-5 generally resembles short chain-type alcohol\/other dehydrogenases, but has two predicted N-terminal transmembrane sequences, and its closest relatives in vertebrates are known or putative steroid dehydrogenases such as hydroxysteroid (17-beta) dehydrogenase 12 from mouse (also known as KIK-I or DHBK_MOUSE).	Is predicted to have oxidoreductase activity. Is expressed in enteric muscle\; hypodermis\; and vulval muscle, type 1. Is an ortholog of human HSD17B12 (hydroxysteroid 17-beta dehydrogenase 12) and HSD17B3 (hydroxysteroid 17-beta dehydrogenase 3).	WBPaper00027104|pmid16480708, WBPaper00033099|pmid19402892, WBPaper00038491|pmid21647448, WBPaper00042257|pmid23496871, WBPaper00055090|pmid30120140
nas-6	WBGene00003525	nas-6	4R79.1	CELE_4R79.1	N.A.	lethal, sterile	nas-6 encodes an astacin-like metalloprotease.	Is predicted to have metalloendopeptidase activity and zinc ion binding activity. Is involved in pharyngeal pumping and pharynx development. Is expressed in body wall musculature\; hyp7 syncytium\; intestine\; mc2\; and pharyngeal muscle cell. Is an ortholog of human MEP1A (meprin A subunit alpha) and MEP1B (meprin A subunit beta).	WBPaper00006254|pmid14653817, WBPaper00035910|pmid20109220, WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140
olrn-1	WBGene00007260	olrn-1	C02C6.2	nsy-6, CELE_C02C6.2	N.A.	associative learning variant, butanone chemotaxis defective, lethal, loss of asymmetry AWC, odorant adaptation variant, sterile	olrn-1 encodes, by alternative splicing, two isoforms of a transmembrane protein required for differentiation of the AWC[ON] neuron, expression of str-2 in AWC[ON], adaptation to benzaldehyde, chemotaxis to butanone, and enhancement of chemotaxis to butanone by the presence of food\; OLRN-1 is orthologous to Drosophila melanogaster RAW and Schistosoma japonicum SJCHGC05616\; while OLRN-1 has orthologs in nematodes, trematodes, and arthropods, its has no obvious chordate homologs\; OLRN-6 is expressed in many pharyngeal neurons and some head neurons, but is required solely in the AWC[ON] neuron for butanone enhancement\; OLRN-6's function in butanone enhancement is both serotonin- and dopamine-independent, and appears to also act in chemotactic enhancement of 2,3-pentanedione and isoamyl alcohol\; by orthology with RAW, OLRN-6 is predicted to inhibit JNK-1 signalling, which may in turn allow the asymmetrical AWC[ON] fate to emerge.	Is involved in olfactory learning. Is expressed in head neurons\; pharyngeal cell\; and rectal gland cell.	WBPaper00029060|pmid17251413, WBPaper00031175|pmid17986337, WBPaper00059567|pmid32268082
Y53F4B.27	WBGene00013173	Y53F4B.27	Y53F4B.27	CELE_Y53F4B.27	N.A.	N.A.	N.A.	Is enriched in body wall musculature\; germline precursor cell\; hypodermis\; and neurons based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray and RNA-seq studies. Is affected by twenty-one chemicals including hydrogen sulfide\; Ethanol\; and Nitric Oxide based on microarray and RNA-seq studies.	N.A.
C54G7.1	WBGene00016933	C54G7.1	C54G7.1	CELE_C54G7.1	fat content reduced	N.A.	N.A.	Is enriched in DA neuron\; VA neuron\; and neurons based on tiling array and RNA-seq studies. Is affected by several genes including daf-12\; eat-2\; and pgl-1 based on microarray and RNA-seq studies. Is affected by seven chemicals including tryptophan\; Zidovudine\; and Psoralens based on microarray and RNA-seq studies.	WBPaper00038491|pmid21647448
R04A9.9	WBGene00195183	R04A9.9	R04A9.9	CELE_R04A9.9	N.A.	N.A.	N.A.	Is enriched in intestine based on RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on RNA-seq and microarray studies. Is affected by eight chemicals including rotenone\; manganese chloride\; and Alovudine based on RNA-seq studies.	N.A.
F07A5.4	WBGene00008543	F07A5.4	F07A5.4	CELE_F07A5.4	N.A.	N.A.	N.A.	Is enriched in coelomocyte\; intestine\; neurons\; and ventral nerve cord based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including rrf-3\; clk-1\; and elt-2 based on microarray and RNA-seq studies. Is affected by fourteen chemicals including aldicarb\; 1-methylnicotinamide\; and methylmercuric chloride based on microarray and RNA-seq studies. Human ortholog(s) of this gene are implicated in juvenile glaucoma. Human MYOC exhibits fibronectin binding activity\; frizzled binding activity\; and myosin light chain binding activity. Is predicted to encode a protein with the following domains: Olfactomedin-like domain and Olfactomedin-like domain. Is an ortholog of human MYOC (myocilin) and OLFM1 (olfactomedin 1).	N.A.
ZK813.5	WBGene00022824	ZK813.5	ZK813.5	ZK813.b, ZK813.b, CELE_ZK813.5	N.A.	N.A.	N.A.	Is enriched in AFD\; ASER\; BAG\; and NSM based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; daf-12\; and sek-1 based on microarray and RNA-seq studies. Is affected by eleven chemicals including Alovudine\; stavudine\; and Zidovudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: 7 transmembrane receptor (rhodopsin family) and GPCR, rhodopsin-like, 7TM.	N.A.
mks-3	WBGene00018042	mks-3	F35D2.4	CELE_F35D2.4	N.A.	N.A.	mks-3 encodes a transmembrane domain protein homologous to the human ciliopathy protein MKS-3\/tmem67\/meckelin\; MKS-3 is required for cilia-mediated chemosensory reception and for the normal length of cilia\; in regulating cilia organization and function, mks-3 functions in the same pathway as other mks (Meckel-Gruber Syndrome (MKS) homolog genes), including mks-1, but in parallel to the nphp (nephronophthisis (human kidney disease) homolog) genes, nphp-1 and nphp-4\; mks-1\;nphp-4 double mutants also display cell autonomous defects in connections between sheath and socket cells\; MKS-3 is expressed in ciliated sensory neurons where it localizes to the distal end of dendrites and the cilium base\; mks-3 expression is dependent upon the DAF-19 RFX-type transcription factor.	Is involved in non-motile cilium assembly. Localizes to ciliary transition zone. Is expressed in neurons. Is used to study Meckel syndrome. Human ortholog(s) of this gene are implicated in several diseases, including Bardet-Biedl syndrome 14\; COACH syndrome\; and Joubert syndrome 6. Is an ortholog of human TMEM67 (transmembrane protein 67).	WBPaper00026601|pmid15916950, WBPaper00035930|pmid20150540, WBPaper00038248|pmid21422230, WBPaper00038491|pmid21647448, WBPaper00040842|pmid22393243, WBPaper00046152|pmid25501555, WBPaper00049218|pmid26863025, WBPaper00049372|pmid26982032, WBPaper00055090|pmid30120140
noah-1	WBGene00016422	noah-1	C34G6.6	CELE_C34G6.6	embryonic lethal, larval arrest, larval lethal, locomotion variant, lysosome-related organelle morphology variant, molt defect, multivulva, organism morphology variant, RAB-11 recycling endosome morphology variant, three fold arrest, transgene subcellular localization variant	N.A.	noah-1 encodes a PAN and ZP domain-containing protein that is related to the Drosophila extracellular matrix component NompA (no-mechanoreceptor-potential A)\; loss of noah-1 function via RNAi indicates that NOAH-1 activity is essential for molting\; in addition, NOAH-1 appears to be required for embryonic and larval development, vulval development, coordinated locomotion, and normal body morphology.	Is involved in molting cycle.	WBPaper00041497|pmid22348596, WBPaper00041771|pmid23195953, WBPaper00051259|pmid28526752, WBPaper00056673|pmid31055208
cutl-2	WBGene00013145	cutl-2	Y53C12B.6	CELE_Y53C12B.6	N.A.	N.A.	N.A.	Is enriched in hypodermis based on tiling array studies. Is affected by several genes including daf-2\; rrf-3\; and daf-12 based on microarray\; tiling array\; and RNA-seq studies. Is affected by eighteen chemicals including 1-methylnicotinamide\; methylmercuric chloride\; and Mianserin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Zona pellucida-like domain and Zona pellucida domain.	N.A.
